order_id,order_item_id,product_id,seller_id,shipping_limit_date,price,freight_value,ingest_date
00125cb692d04887809806618a2a145f,1,1c0c0093a48f13ba70d0c6b0a9157cb7,41b39e28db005d9731d9d485a83b4c38,2017-03-29 13:05:42,109.90,25.51,2026-01-01
00571ded73b3c061925584feab0db425,1,8695c431b31927efef5343e675f279e7,fe2032dab1a61af8794248c8196565c9,2017-05-25 21:10:16,179.90,15.01,2026-01-01
00571ded73b3c061925584feab0db425,2,8695c431b31927efef5343e675f279e7,fe2032dab1a61af8794248c8196565c9,2017-05-25 21:10:16,179.90,15.01,2026-01-01
00bdcdda88e6b02977fc6ce3d412c600,1,20566af10fda4783935b8cef249fa4c3,d921b68bf747894be13a97ae52b0f386,2018-06-14 10:21:14,118.90,18.93,2026-01-01
011b142c9e082a5c1d10e0a88cd9c8e8,1,4cb33e9787e8a38b82bd68e70f5f4700,17e34d8224d27a541263c4c64b11a56b,2018-03-29 11:55:34,243.37,53.83,2026-01-01
0132451f29a10b66a5cf1bacc85f9afe,1,42a2bd596fda1baef5719cb74f73030c,da8622b14eb17ae2831f4ac5b9dab84a,2017-11-21 17:08:27,89.90,17.88,2026-01-01
0132451f29a10b66a5cf1bacc85f9afe,2,283dc451ad3918badb976d56ff887289,da8622b14eb17ae2831f4ac5b9dab84a,2017-11-21 17:08:27,89.90,17.88,2026-01-01
01835ef41c5ac66dd9ec6084fa1d0533,1,bbaef2eadf31fe3ea6702077398be06c,cc419e0650a3c5ba77189a1882b7556a,2017-05-18 21:45:17,56.99,15.15,2026-01-01
01855f880aae9a984c7c33b26fcf2e02,1,12bc892d6fff0dc42c8177f3665ef00e,e9779976487b77c6d4ac45f75ec7afe9,2017-10-25 15:35:35,39.49,8.27,2026-01-01
01855f880aae9a984c7c33b26fcf2e02,2,12bc892d6fff0dc42c8177f3665ef00e,e9779976487b77c6d4ac45f75ec7afe9,2017-10-25 15:35:35,39.49,8.27,2026-01-01
0197cb265e2c84b9f89dfd784095d2f6,1,b8fb835549196ef18695839a1a749584,51702dc2a3e106c76dbff722b5bf0726,2018-01-05 02:12:41,320.00,58.91,2026-01-01
01a75ac3dd000b7628a684be97c29234,1,b5c114b11d53b6fd85a6a90790f0b479,0adac9fbd9a2b63cccaac4f8756c1ca8,2018-01-29 10:59:10,42.90,15.10,2026-01-01
02610d88ac343ed64988d2706ce3ebfd,1,ce169d5f9421a6f21e41a7bf54d0b98e,8b321bb669392f5163d04c59e235e066,2018-02-12 04:31:55,28.00,15.11,2026-01-01
02aec12849744e266394182861265286,1,8aa6223e400af9c97b07c75993142721,1f9ab4708f3056ede07124aad39a2554,2017-09-06 18:05:09,174.90,35.74,2026-01-01
0341b60065c49221a27293793f11b117,1,41c24b8ce92d1a2cac62db5edfd088b2,4869f7a5dfa277a7dca6462dcf3b52b2,2018-04-26 15:31:39,102.90,22.43,2026-01-01
03f83b59e7c7355647462745b18119f1,1,23365beed316535b4105bd800c46670e,92eb0f42c21942b6552362b9b114707d,2017-07-24 06:03:49,12.50,15.10,2026-01-01
04040ee654b248cdc512a68ecc83e4cc,1,cc7d8d232e6f5f27b70be81b68e27d6e,da8622b14eb17ae2831f4ac5b9dab84a,2018-04-02 22:30:13,259.90,15.29,2026-01-01
0438fc3e115633e11a93c878a1591016,1,afeeea6271148ee1bb15173b8187c431,53243585a1d6dc2643021fd1853d8905,2018-08-17 10:10:18,249.00,15.22,2026-01-01
