customer_id,customer_unique_id,customer_zip_code_prefix,customer_city,customer_state,ingest_date
ae8db0691449a44352e7d535ddf78c5e,ad28944afc91824e30366a595654aaa4,11440,guaruja,SP,2026-01-01
4b003ee1eabaffe8ff8e6d75394a9b42,941590fb8aef66b3a8352fe7c691879e,48700,serrinha,BA,2026-01-01
1681471e9172d7e12ba08e9ac9e8628b,84032c13e75382a35c99ae73156b30b9,20250,rio de janeiro,RJ,2026-01-01
a4a00c41b5e3ed88bf0e0bb96576c2b2,94e89532396b3c02f648b2bc7f93f528,26115,belford roxo,RJ,2026-01-01
6ca7c0e971c24ce0931f148588ef23ce,f48a9bdc7d38b43bba4082517ea1bc07,36080,juiz de fora,MG,2026-01-01
41ce2a54c0b03bf3443c3d931a367089,3a653a41f6f9fc3d2a113cf8398680e8,75265,vianopolis,GO,2026-01-01
4cd274ce8ba240b1cff6480fa9911df1,01daeb09de8f07882ccd4319ffbc4693,09415,ribeirao pires,SP,2026-01-01
5ad934ace4646e3dad70148a823eb138,795ec127906a9e161109399a70f5826d,39480,januaria,MG,2026-01-01
17ebae22126d3df35f5e1fa1efedab94,82d3e8adcc5eaecb0594f0b20a105d93,18040,sorocaba,SP,2026-01-01
254e327149dc394a4edc7ff695098547,39104edef5e46d7b8c61848cc95e6d97,08694,suzano,SP,2026-01-01
7f8c8b9c2ae27bf3300f670c3d478be8,634f09f6075fe9032e6c19609ffe995a,44024,feira de santana,BA,2026-01-01
569cf68214806a39acc0f39344aea67f,c2551ea089b7ebbc67a2ea8757152514,44380,cruz das almas,BA,2026-01-01
8ca53db6e60cffad03828535d1fcc1a2,b3d23d61fb01dde311c5ddc5dfde8e47,31710,belo horizonte,MG,2026-01-01
d3e3b74c766bc6214e0c830b17ee2341,e97109680b052ee858d93a539597bba7,35400,ouro preto,MG,2026-01-01
26545a1a15e77138e98380c49a76053a,eb9414e9c56dacd436c2b7a274b34983,29730,baixo guandu,ES,2026-01-01
d2b091571da224a1b36412c18bc3bbfe,d699688533772c15a061e8ce81cb56df,04001,sao paulo,SP,2026-01-01
0dae7978fb6595f295dd3fd9ede02cda,0dd47ea03f3e61825df9e2bc94c292f1,30240,belo horizonte,MG,2026-01-01
0489975a325480c9e385e9f135bb13c3,b577af9a54b023b4bcc51f69bb937f1c,14406,franca,SP,2026-01-01
4fea6b3a96c9c399aef5540b38c7025b,f5add44bf786bd861fd6108d400cbaa5,04134,sao paulo,SP,2026-01-01
3b6828a50ffe546942b7a473d70ac0fc,ccafc1c3f270410521c3c6f3b249870f,74820,goiania,GO,2026-01-01
021e84751ba0ead75b6d314a6ead88d9,9a58c55c10b4eb6c69fb0874d8beb466,23025,rio de janeiro,RJ,2026-01-01
f6cc975f9ed5f7d6d78d5f8ac711a7ac,8cfecfbbdad82f1281686a54caf46dbb,37170,boa esperanca,MG,2026-01-01
04c70b7e1a619d16dbd79757e543cc59,c0c0c50de0f9c7089f7de06b69577afc,12070,taubate,SP,2026-01-01
df5c9e02596851fcbfc98804e4108bbd,377bdfb2197d3b83c9e3f9502deabcfb,39680,capelinha,MG,2026-01-01
060a46f3e1097e08371f2c8c7064156c,3d8a51057b28b7b5172c8bc46cb6a7f5,87030,maringa,PR,2026-01-01
00a6e2753fc2652cb87386ffbf5792b2,3abdf4f27efce96f8573a88343a4084e,04944,sao paulo,SP,2026-01-01
b59948a7b140d0a16d1683138820eed9,4cdcedeadb2f9aeb0ba2ef5f2ebfd042,96015,pelotas,RS,2026-01-01
fc849c5fbc7e2b0c7cfebc138886c693,5bbc03d010ac4dbcfdfa2018349c8f6e,28148,tocos,RJ,2026-01-01
5295c0f1f2053aa636bc034c2a85ab44,aa2511d870f9323a51307961b1030a5a,30692,belo horizonte,MG,2026-01-01
59cf1a479d104e38587b9fe9d60febe3,02278b7fe04a285092542fa4313cdc31,96065,pelotas,RS,2026-01-01
7bb3b0d45b4e1a13cd914e4a135e6bd9,286cb34c005540e593bea6045b73bc5a,04115,sao paulo,SP,2026-01-01
55216cd56c9eaadec16f03d5aaf11d86,c1dc1162de49817a25314db3030276f5,99435,campos borges,RS,2026-01-01
ba8a4209b5b60ac17ac458fdf1d34ddb,3d83e5ef875fbe2b372eb472a6528146,93224,sapucaia do sul,RS,2026-01-01
cae5d18352d2eb7396bd594c706f3624,b8baa482e2e3b439ab972fba47c9be48,12080,taubate,SP,2026-01-01
3be5a877ceebea2954404c6ef8e70be2,18bbfd7c77ff481bac5ae34fe5b8cc52,78780,alto araguaia,MT,2026-01-01
f239edc4401c9043a2c8f37fe164b273,8fbfbef81eb19dbfa1f6ba6bf5924e4b,09710,sao bernardo do campo,SP,2026-01-01
148348ff65384b4249b762579532e248,db979bdfe0bbba29ecd3df3f6c50bea2,87711,paranavai,PR,2026-01-01
a9f353609242c268174ec433f45f8440,d42b2752f04c8b661506333f88f70177,08710,mogi das cruzes,SP,2026-01-01
b1daab0190e21f1b1702791e68fcd940,0fa37740a3371e759a99e0acc2d533c2,30494,belo horizonte,MG,2026-01-01
aeb0c5aea1d62b3e494a86bad308f85e,5d3e6a61592164c2924ccec5c7f56058,85817,cascavel,PR,2026-01-01
7d61bddcc4435ac5dd586d751ebca204,10936b5134f21f582fbc02f383d76572,75804,jatai,GO,2026-01-01
db6505328f042b7f4fae7d80f3b0515f,2575b93f24ae722702825789254eaa1a,04447,sao paulo,SP,2026-01-01
21f1477f3d02e7fd1ba28dc6c596dc17,ec6a267aac7d40277f50dfed2d449cf1,38181,araxa,MG,2026-01-01
ed91cd9ea6e333288382a4adbefaffcf,a54ac085fc21d6fee207ddc23554a93e,02246,sao paulo,SP,2026-01-01
eb1c0e1ca3e17eccaefb7f0d4dc659b1,48625b68a29dcfc3aba4b5147e0625aa,20520,rio de janeiro,RJ,2026-01-01
3cc640f13134a74f3bc34b9b0094d412,30e4588900a8ceade11dbe60525d107e,55400,catende,PE,2026-01-01
3971ac136496b4368c1431bb5bce0929,1858eacbc8be35fe3b5dcfcd6d249462,79002,campo grande,MS,2026-01-01
4d8c75952e09254a602a3a059d0ac367,c375736396906dff8414217e02c45661,13050,campinas,SP,2026-01-01
6520161e793f944073a132d97e9af083,83aba9785dbb2e81044c9da5fa9e740c,36033,juiz de fora,MG,2026-01-01
86ff82570097f39b2193254f540e4a69,2f97fb04ba09cfa05b9e3b3af4e8e247,78875,gaucha do norte,MT,2026-01-01
