order_id,payment_sequential,payment_type,payment_installments,payment_value,ingest_date
dc400373e624e9b0435847a79813c658,2,voucher,1,48.91,2026-01-01
d0e9849de800fdb4cb3b5e6d42c6b367,1,boleto,1,85.79,2026-01-01
b616f638cd86d92c7cbd06cf7484ee34,1,credit_card,1,20.75,2026-01-01
16e62e9da7d33d61b6f26ccf68bc962c,1,boleto,1,415.93,2026-01-01
407408433ee2a9ed77984aa5a06e2b2e,1,credit_card,1,76.17,2026-01-01
aa466a92af916f9f68e56fce7d3a21b1,1,credit_card,1,159.07,2026-01-01
a41753c6a1d8accb89732e36243432d7,1,credit_card,3,45.69,2026-01-01
7ebe19943d85e81a7b0eb108681276b7,1,credit_card,8,211.94,2026-01-01
7209ce21354cff1e1957b42ea0a76cd1,1,credit_card,8,162.65,2026-01-01
444ebbf5602b5acdad22e0b4a9951bda,1,credit_card,3,372.72,2026-01-01
cf1bc456a0d5c63bb6c94d3b8b2c56e7,1,boleto,1,71.27,2026-01-01
8fc207e94fa91a7649c5a5dab690272a,1,credit_card,5,135.51,2026-01-01
6f209510f34ce1a8c89d11273039981d,1,credit_card,2,51.42,2026-01-01
fc66798245e4d173bcc7eb36eb72a278,1,credit_card,2,179.22,2026-01-01
00bdcdda88e6b02977fc6ce3d412c600,1,credit_card,1,137.83,2026-01-01
38c4ae942b818085578157aabd4abf9e,1,credit_card,2,183.65,2026-01-01
98cc17e56c367cbbe628aca0bbf9f08e,1,credit_card,1,54.09,2026-01-01
c3fd670b03599718895218d479f660b6,1,boleto,1,921.04,2026-01-01
a062c240bb299fa3f0ce55cf05ec8390,1,credit_card,5,77.51,2026-01-01
eba18dfa91e31cf748f9f52b779f9ae8,1,credit_card,1,31.77,2026-01-01
4dadcd5f9e682c17fdc6dded70c048e0,1,credit_card,1,41.43,2026-01-01
b7e4aca3e798d20643faacb681272a9c,1,credit_card,5,172.42,2026-01-01
674b530698f9bd8a9167b30ed86bd51d,1,credit_card,10,229.63,2026-01-01
f26f92a3da58e9c771820a7b4d9a6800,1,credit_card,1,57.68,2026-01-01
7535955a5fee70328e9fe079653e03f1,1,credit_card,1,209.67,2026-01-01
86f408a9212aebbcddb41c1e8c65ebe0,1,credit_card,3,35.45,2026-01-01
c10ff28c81d0b9bd2a265bb0836c8b0c,1,credit_card,7,76.67,2026-01-01
4a5cc9b4e332e03d76bf553a7f2fa5d3,1,credit_card,3,176.78,2026-01-01
6d46f8b7f485ad93146f9880682d4eb2,1,credit_card,4,62.08,2026-01-01
c82a457d646f77c8f151e12a3e517ed2,1,credit_card,3,145.00,2026-01-01
0c6b011f8a4f87010c23995f5807d152,1,credit_card,6,66.02,2026-01-01
d1f54c6a2a7015c5687439d6d4e971ba,1,credit_card,1,92.97,2026-01-01
638f79643fd5681c6e6c6ef1f1ab700d,1,credit_card,2,198.12,2026-01-01
b68d69564a79dea4776afa33d1d2fcab,1,credit_card,9,262.37,2026-01-01
a7cd6af6e0519313887b3c3a120f20ca,1,credit_card,4,43.29,2026-01-01
32931b358e8eb9042cf278a4e233321f,1,boleto,1,512.90,2026-01-01
7e3f9f89f31e57c84fe4ef9a5bb9bc1e,1,credit_card,2,224.94,2026-01-01
6147a4d49752afd35a119d794e481588,1,credit_card,3,47.68,2026-01-01
a98012aa8c697f2bcff9f8c2183e0f2b,1,credit_card,3,158.97,2026-01-01
c788aeedf593229d4ee84e790c2e5483,1,credit_card,2,117.00,2026-01-01
